"ID","MonthlyIncome_pred"
871,5741.47820866914
872,2908.53442636573
873,13959.4663672948
874,2528.15315830152
875,2865.04295417629
876,3558.60710105937
877,5339.34128187101
878,2418.4549891338
879,3162.57134463089
880,14074.9151894338
881,9700.38898950299
882,2668.61681818184
883,5308.10293485886
884,5446.73206310849
885,5789.44397888845
886,5350.8244075234
887,5823.34483327421
888,5353.73820972979
889,3911.84959285304
890,2762.78675812813
891,4233.88130067974
892,8161.95201926634
893,7628.94434512557
894,5273.78904529278
895,10403.7311877755
896,8640.90957236483
897,7463.80742131995
898,14269.2729605747
899,5453.15164707797
900,2736.00630288112
901,2925.37615078685
902,5990.93737683899
903,6277.78736954404
904,2972.80255863443
905,13957.4743941509
906,5121.83360142189
907,9358.97829969327
908,5828.29422477509
909,2429.24312558728
910,2490.13241926886
911,25315.7645548854
912,2828.03344885518
913,2790.53547701132
914,9557.58044776042
915,5610.87763803583
916,3883.84342120177
917,2683.76003450338
918,5203.37938281993
919,2272.58207038217
920,2876.32511940925
921,2438.6595376093
922,2427.14840325817
923,3991.41618630166
924,3991.93755759454
925,16678.6685027657
926,2969.52657934252
927,5666.22691295228
928,12173.9997636041
929,2223.33132110148
930,2607.80068697791
931,5841.08182577489
932,10218.0378306212
933,8858.83035046788
934,2582.61799533185
935,2385.0139019263
936,2391.1835559068
937,8573.77252274866
938,8688.35996360888
939,4992.22492862625
940,2381.91352256382
941,2660.36094230088
942,8122.93363365592
943,10618.6172327411
944,5594.48488700451
945,2224.83257912534
946,5743.12639107049
947,2248.71810067474
948,2701.73432285518
949,2750.28382474127
950,5169.75926634776
951,2718.23571558823
952,5751.14278226096
953,5673.13244632028
954,2669.62039384869
955,3904.37559874073
956,5981.77446511792
957,10579.6180089187
958,2675.61947274028
959,8506.37450655232
960,27332.7004738958
961,2915.5445382476
962,4722.5193829768
963,5915.07594157601
964,4516.11394509502
965,2685.89464251223
966,25072.7056712563
967,2663.00505498003
968,8303.9961551124
969,14773.3049493924
970,2589.62981297287
971,5614.08911948205
972,5736.98936420831
973,2494.16900991128
974,2470.65150198974
